multiprune,headstr,pluslayer,plushead,acc1
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,1,3,79.808
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,1,5,79.43
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,1,6,79.806
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,1,7,79.606
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,1,8,79.614
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,1,9,79.662
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,1,10,79.804
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,2,1,79.506
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,2,2,79.388
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,2,4,79.66
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,2,6,79.71
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,2,7,79.678
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,2,8,79.744
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,2,9,79.53
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,2,10,79.792
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,2,11,79.452
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,3,0,79.762
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,3,1,79.824
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,3,3,79.688
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,3,4,79.69
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,3,5,79.828
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,3,6,79.822
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,3,9,79.422
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,3,10,79.642
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,3,11,79.768
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,4,0,79.464
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,4,1,79.596
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,4,3,79.714
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,4,4,79.688
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,4,5,79.662
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,4,7,79.642
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,4,8,79.652
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,4,10,79.6
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,4,11,79.768
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,5,0,79.712
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,5,1,79.748
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,5,2,79.65
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,5,3,79.956
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,5,4,79.526
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,5,5,79.788
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,5,7,79.748
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,5,8,79.72
3,8+1+7.1+11+4.0+3+5.8+2+7.9+2+6.9+11+6,5,10,79.55
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,0,0,78.628
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,0,2,78.534
4,8+1+4+7.3+1+11+4.0+10+3+5.8+2+5+7.9+2+11+6.3+9+11+6,0,3,78.752
